$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
   15  94    17    17   3.6 -14.2 10.95  0.95  0.09  1.36   4.9  0.11 0.009  0.12   152    64    10    77    27    51     0  0.00     0     0    37     0     0 .0129  48.3     0     0   375   399  0.14  0.74  21.8  99.9  2.86  0.00  0.00  0.00  0.15  0.15  0.15   0.7  0.28  0.64  0.33  0.35
   15  95    18    18   2.5 -15.0 10.99  1.00  0.09  0.92   5.6  0.11 0.009  0.12   157    63    11    82    27    55     0  0.00     0     0    41     0     0 .0142  50.5     0     0   375   398  0.14  0.74  19.4  99.9  1.86  0.00  0.00  0.00  0.15  0.15  0.15   1.1  0.51  0.75  0.28  0.34
   15  96    19    19   1.9 -15.0 11.03  1.03  0.09  0.72   4.4  0.11 0.009  0.12   161    63    12    86    27    58     0  0.00     0     0    45     0     0 .0153  52.2     0     0   375   398  0.14  0.74  18.7  99.9  2.06  0.00  0.00  0.00  0.14  0.14  0.14   1.6  0.62  0.81  0.23  0.33
   15  97    20    20   2.9 -15.0 11.07  1.07  0.09  1.11   8.1  0.11 0.010  0.12   168    62    13    93    28    65     0  0.00     0     0    51     0     0 .0170  54.7     0     0   375   398  0.15  0.74  18.2  92.7  1.78  0.00  0.00  0.00  0.13  0.13  0.13   0.9  0.42  0.71  0.18  0.32
   15  98    21    21   6.6 -15.0 11.18  1.18  0.10  1.94  15.7  0.13 0.011  0.14   182    57    16   109    31    78     0  0.00     0     0    62     0     0 .0213  57.0     0     0   375   397  0.16  0.74  18.1  74.1  1.58  0.00  0.00  0.00  0.12  0.12  0.12   1.1  0.00  0.34  0.13  0.32
   15  99    22    22  10.2 -15.0 11.35  1.35  0.12  1.98  19.2  0.16 0.014  0.17   199    48    19   133    40    93     0  0.00     0     0    74     0     0 .0293  55.5     0     0   375   396  0.17  0.74  18.5  57.4  1.42  0.00  0.00  0.00  0.10  0.10  0.10   0.5  0.00  0.00  0.10  0.31
   15 100    23    23  11.4 -15.0 11.54  1.54  0.15  1.78  24.0  0.19 0.016  0.20   220    40    22   158    48   110     0  0.00     0     0    87     0     0 .0398  54.9     0     0   375   394  0.18  0.74  19.0  41.1  1.18  0.00  0.00  0.09  0.19  0.19  0.19   0.5  0.00  0.00  0.08  0.30
   15 101    24    24  11.7 -15.0 11.74  1.74  0.17  1.62  21.2  0.22 0.019  0.24   239    35    26   179    55   124     0  0.00     0     0    96     0     0 .0529  53.8     0     0   375   393  0.20  0.73  19.7  44.3  1.48  0.00  0.00  0.00  0.27  0.27  0.27   0.4  0.00  0.00  0.06  0.30
   15 102    25    25  12.3 -15.0 11.94  1.94  0.18  1.01  15.5  0.24 0.021  0.26   253    31    28   194    61   133     0  0.00     0     0   103     0     0 .0687  53.1     0     0   375   392  0.21  0.72  20.6  39.1  0.68  0.65  0.32  0.48  0.32  0.32  0.32   0.3  0.00  0.00  0.04  0.29
   15 103    26    26  11.9 -15.0 12.07  2.07  0.19  0.75  12.7  0.25 0.022  0.27   263    28    31   205    63   142     0  0.00     0     0   111     0 0.904 .0855  54.3     0     0   375   392  0.23  0.71  21.6  37.8  0.54  0.93  0.46  0.59  0.36  0.36  0.36   0.3  0.00  0.00  0.02  0.28
