$PLANT NITROGEN ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  NUAC  TNAD SDNAD  RNAD  CNAD  LNAD  SNAD  HNAD   HIND  RSNAD  SNNPD SNN0D SNN1D  RN%D  LN%D  SN%D   HN%D  SDN%D   VN%D LN%RD SN%RD RN%RD  VCN%  VMN% NUPRD NDEMD
   15 101    24    24  11.7 11.74   2.1   4.1  0.00  0.44   3.7   2.5   0.0   0.0   0.00   0.00   0.00     0 .0008 1.694 4.472 0.922   0.00   0.00   2.05  0.71  0.49  0.86   6.2  0.74  0.37  0.83
   15 102    25    25  12.3 11.94   2.3   4.3  0.00  0.47   3.8   2.6   0.0   0.0   0.00   0.00   0.00     0 .0010 1.673 4.239 0.868   0.00   0.00   1.98  0.68  0.47  0.85   6.2  0.74  0.31  0.66
   15 103    26    26  11.9 12.07   2.4   4.4  0.00  0.51   3.9   2.6   0.0   0.0   0.00   0.06   0.00 .0134 .0013 1.658 4.144 0.835   0.00   0.00   1.91  0.67  0.45  0.85   6.2  0.74  0.31  0.41
   15 104    27    27  12.1 12.17   2.5   4.5  0.00  0.54   4.0   2.6   0.0   0.0   0.00   0.06   0.00 .0272 .0015 1.645 4.110 0.834   0.00   0.00   1.84  0.66  0.46  0.84   6.2  0.74  0.27  0.29
   15 105    28    28  14.4 12.29   2.5   4.5  0.00  0.57   4.0   2.6   0.0   0.0   0.00   0.06   0.00 .0412 .0019 1.634 4.054 0.815   0.00   0.00   1.77  0.66  0.45  0.84   6.1  0.74  0.18  0.29
   15 106    29    29  15.7 12.42   2.6   4.6  0.00  0.60   4.0   2.6   0.0   0.0   0.00   0.06   0.00 .0554 .0023 1.625 3.954 0.778   0.00   0.00   1.71  0.64  0.44  0.83   6.1  0.74  0.12  0.35
   15 107    30    30  10.9 12.51   2.8   4.7  0.00  0.63   4.1   2.7   0.0   0.0   0.00   0.06   0.00 .0700 .0026 1.620 4.037 0.856   0.00   0.00   1.71  0.66  0.49  0.83   6.1  0.74  0.63  0.32
   15 108    31    31   5.5 12.56   3.0   4.9  0.00  0.71   4.2   2.8   0.0   0.0   0.00   0.00   0.00 .0700 .0027 1.663 4.168 0.936   0.00   0.00   1.65  0.68  0.54  0.85   6.1  0.74  2.00  0.20
   15 109    32    32   6.4 12.61   3.3   5.3  0.00  0.80   4.5   3.0   0.0   0.0   0.00   0.00   0.00 .0700 .0029 1.703 4.300 1.020   0.00   0.00   1.61  0.70  0.59  0.87   6.0  0.73  2.00  0.31
   15 110    33    33   8.1 12.68   3.7   5.7  0.00  0.91   4.7   3.2   0.0   0.0   0.00   0.00   0.00 .0700 .0032 1.739 4.442 1.118   0.00   0.00   1.58  0.73  0.65  0.89   6.0  0.73  2.00  0.40
   15 111    34    34  10.7 12.77   4.3   6.2  0.00  1.03   5.2   3.5   0.0   0.0   0.00   0.00   0.00 .0700 .0036 1.770 4.600 1.228   0.00   0.00   1.57  0.76  0.73  0.91   6.0  0.73  2.00  0.54
   15 112    35    35  11.2 12.86   4.8   6.8  0.00  1.16   5.6   3.7   0.0   0.0   0.00   0.00   0.00 .0700 .0041 1.795 4.743 1.314   0.00   0.00   1.57  0.79  0.79  0.92   6.0  0.73  2.00  0.58
   15 113    36    36   6.1 12.91   5.1   7.1  0.00  1.27   5.8   3.9   0.0   0.0   0.00   0.00   0.00 .0700 .0043 1.814 4.829 1.349   0.00   0.00   1.51  0.80  0.81  0.93   6.0  0.73  2.00  0.32
   15 114    37    37   8.8 12.99   5.6   7.6  0.00  1.41   6.1   4.1   0.0   0.0   0.00   0.00   0.00 .0700 .0048 1.832 4.927 1.393   0.00   0.00   1.46  0.82  0.85  0.94   5.9  0.73  1.35  0.47
   15 115    38    38  11.4 13.08   6.1   8.1  0.00  1.53   6.5   4.4   0.0   0.0   0.00   0.00   0.00 .0700 .0054 1.817 4.969 1.396   0.00   0.00   1.44  0.83  0.86  0.94   5.9  0.73  0.82  0.61
   15 116    39    39  15.1 13.21   6.9   8.8  0.00  1.64   7.2   4.8   0.0   0.0   0.00   0.00   0.00 .0700 .0063 1.823 5.060 1.428   0.00   0.00   1.48  0.85  0.89  0.94   5.9  0.73  0.94  0.80
   15 117    40    40  14.5 13.33   7.7   9.6  0.00  1.80   7.8   5.2   0.1   0.0   0.00   0.00   0.00 .0700 .0073 1.838 5.161 1.462   0.00   0.00   1.49  0.87  0.93  0.95   5.8  0.72  1.35  0.83
   15 118    41    41   8.3 13.40   8.2  10.1  0.00  1.93   8.2   5.4   0.1   0.0   0.00   0.00   0.00 .0700 .0079 1.848 5.222 1.475   0.00   0.00   1.47  0.88  0.95  0.96   5.8  0.72  2.00  0.47
   15 119    42    42   7.0 13.45   8.6  10.5  0.00  2.09   8.4   5.6   0.1   0.0   0.00   0.00   0.00 .0700 .0084 1.859 5.270 1.483   0.00   0.00   1.41  0.89  0.96  0.96   5.8  0.72  2.00  0.42
   15 120    43    43  10.4 13.54   9.2  11.2  0.00  2.23   8.9   5.9   0.1   0.0   0.00   0.00   0.00 .0700 .0092 1.867 5.328 1.492   0.00   0.00   1.40  0.91  0.98  0.97   5.7  0.72  2.00  0.65
   15 121    44    44   8.6 13.61   9.7  11.6  0.00  2.30   9.3   6.2   0.1   0.0   0.00   0.00   0.00 .0700 .0100 1.872 5.372 1.495   0.00   0.00   1.42  0.92  1.00  0.97   5.7  0.72  2.00  0.45
