$GROWTH ASPECTS SECONDARY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  RSTD LAIPD LAISD  LAID  CHTD SDWAD SNWLD SNWSD  H#AD  HWUD SHRTD  PTFD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D RL10D
   15 105    28    28  14.4 12.29  1.21 0.268  0.01 0.254 4.505  24.2 2.779 0.127     0     0  6.45  0.70 0.263  0.48  0.09  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 106    29    29  15.7 12.42  1.23 0.280  0.02 0.260 5.126  23.1 3.738 0.155     0     0  6.33  0.71 0.283  0.51  0.09  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 107    30    30  10.9 12.51  1.25 0.289  0.02 0.264 5.810  22.6 4.722 0.175     0     0  6.20  0.72 0.296  0.53  0.10  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 108    31    31   5.5 12.56  1.26 0.292  0.02 0.267 6.288  22.4 4.722 0.185     0     0  6.05  0.72 0.303  0.57  0.11  0.02  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 109    32    32   6.4 12.61  1.27 0.297  0.02 0.272 6.532  22.2 4.722 0.199     0     0  5.90  0.73 0.310  0.62  0.13  0.02  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 110    33    33   8.1 12.68  1.29 0.306  0.02 0.281 6.818  22.0 4.722 0.218     0     0  5.76  0.73 0.319  0.68  0.14  0.02  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 111    34    34  10.7 12.77  1.31 0.320  0.02 0.295 7.185  21.8 4.722 0.246     0     0  5.65  0.73 0.330  0.75  0.16  0.03  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 112    35    35  11.2 12.86  1.33 0.335  0.02 0.310 7.669  21.7 4.722 0.278     0     0  5.56  0.74 0.342  0.83  0.17  0.03  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 113    36    36   6.1 12.91  1.34 0.340  0.02 0.315 8.181  21.6 4.722 0.298     0     0  5.50  0.74 0.348  0.89  0.18  0.04  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   15 114    37    37   8.8 12.99  1.35 0.351  0.02 0.326 8.463  21.6 4.722 0.329     0     0  5.45  0.74 0.358  0.98  0.20  0.04  0.01  0.00  0.00  0.00  0.00  0.00  0.00
