$GROWTH FACTOR OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
!........DATES.......  TEMP STAGE  ...PHENOLOGY....  .......PHOTOSYNTHESIS.......  .....GROWTH.....  ..TILLERS. WATER STRESS DETERMINANTS N STRESS DETERMINANTS       
@YEAR DOY   DAS   DAP TMEAN  GSTD    DU VRNFD DYLFD TFGEM  WFGE  TFPD  WFPD  NFPD CO2FD RSFPD  TFGD  WFGD  NFGD  WFTD  NFTD WAVRD WUPRD  SWXD  EOPD  SNXD LN%RD SN%RD RN%RD      
   15 102    25    25  12.3  11.9   8.2  0.04  0.29  0.55  0.00  0.00  0.32  0.32  0.04  0.00  0.00  0.48  0.32  0.65  0.32 39.08  0.68  20.6   0.5  66.2  0.68  0.47  0.85
   15 103    26    26  11.9  12.1   8.1  0.02  0.28  0.57  0.00  0.00  0.46  0.36  0.04  0.00  0.00  0.59  0.36  0.93  0.36 37.80  0.54  21.6   0.6  66.6  0.67  0.45  0.85
   15 104    27    27  12.1  12.2   8.5  0.00  0.28  0.56  0.00  0.00  0.50  0.38  0.04  0.00  0.00  0.61  0.38  1.00  0.38 37.89  0.50  22.6   0.6  66.7  0.66  0.46  0.84
   15 105    28    28  14.4  12.3  10.4  0.00  0.27  0.46  0.00  0.00  0.59  0.38  0.04  0.00  0.00  0.69  0.38  1.00  0.38 32.12  0.41  24.1   0.8  66.6  0.66  0.45  0.84
   15 106    29    29  15.7  12.4  11.5  0.00  0.27  0.41  0.00  0.00  0.51  0.39  0.04  0.00  0.00  0.62  0.39  1.00  0.39 40.58  0.49  26.1   0.6  66.6  0.64  0.44  0.83
   15 107    30    30  10.9  12.5   8.0  0.00  0.26  0.61  0.00  0.00  0.41  0.41  0.04  0.00  0.00  0.55  0.41  0.83  0.41 84.79  0.59  47.7   0.6  66.6  0.66  0.49  0.83
   15 108    31    31   5.5  12.6   4.1  0.00  0.25  0.82  0.00  0.00  0.00  0.39  0.04  0.00  0.45  0.00  0.39  0.00  0.39 89.76  2.43  42.3   0.5  66.4  0.68  0.54  0.85
   15 109    32    32   6.4  12.6   4.8  0.00  0.25  0.78  0.00  0.00  0.00  0.36  0.04  0.00  0.36  0.00  0.36  0.00  0.36 67.85  2.14  39.6   0.6  66.3  0.70  0.59  0.87
   15 110    33    33   8.1  12.7   6.2  0.00  0.24  0.71  0.00  0.00  0.00  0.34  0.04  0.00  0.19  0.00  0.34  0.00  0.34 53.88  1.94  38.4   0.7  66.0  0.73  0.65  0.89
   15 111    34    34  10.7  12.8   8.1  0.00  0.24  0.61  0.00  0.00  0.00  0.31  0.04  0.00  0.00  0.00  0.31  0.00  0.31 46.53  1.88  38.0   0.8  65.6  0.76  0.73  0.91
