
LogFile started: 9/11/2025 1:15:42 PM
Application    : DSSAT v4.8
Path/ExeName   : C:\dssat48\dssat48.exe
********************************************************************************

00073:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\PU.SOL
00074:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\QU.SOL
00075:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\RO.SOL
00076:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\SA.SOL
00077:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\SI.SOL
00078:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\SOIL.SOL
00079:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\SU.SOL
00080:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\TR.SOL
00081:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\TX.SOL
00082:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\UA.SOL
00083:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\UC.SOL
00084:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\UF.SOL
00085:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\UH.SOL
00086:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\UP.SOL
00087:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\US.SOL
00088:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\WA.SOL
00089:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\SOIL\WI.SOL
00090:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\Weather
00091:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\WEATHER\CLIMATE
00092:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\WEATHER\GEN
00093:  [1:15:58 PM] [9/11/2025]C:\DSSAT48\WEATHER\MONTH
