Phenlogy and Growth	Flag
TR_P3				P
TR_P4				P
TR_P5				P
TR_G2				G
TR_G3				G
TR_G4				G
TR_PHINT			-
TR_PCINT			-
TR_PCGRD			-
TN-------------------				
TN_P1				P
TN_P3				P
TN_P4				P
TN_P5				P
TN_G2				-
TN_G3				G
TN_G4				-
TN_PHINT			-
TN_PCINT			G
TN_PCGRD			G
PT-------------------				
PT_G2				G
PT_G3				G
PT_PD				G
PT_P2				P
PT_TC				P
PI-------------------				
PI_P1				P
PI_P2				P
PI_P3				P
PI_P4				P
PI_P5				P
PI_P6				P
PI_G2				G
PI_G3				G
PI_PHINT			G
CS-------------------				
CS_PPS1				-
CS_P1L				P
CS_P2L				P
CS_P4L				P
CS_P5L				P
CS_SRNOW			-
CS_SRFR				G
CS_LA1S				G
CS_LAXS				G
CS_LAXNO			G
CS_LAFS				-
CS_LAFNO			-
CS_LAWS				G
CS_PHINT			-
CS_LLIFA			-
CS_STFR				G
SC-------------------				
SC_MaxPARCE			G
SC_APFMX			G
SC_STKPFMAX			G
SC_SUCA				G
SC_TBFT				-
SC_Tthalfo			-
SC_TBase			-
SC_LFMAX			-
SC_MXLFAREA			G
SC_MXLFARNO			-
SC_PI1				P
SC_PI2				P
SC_PSWITCH			P
SC_TTPLNTEM			-
SC_TTRATNEM			-
SC_CHUPIBASE		-
SC_TT_POPGROWTH		P
SC_MAX_POP			P
SC_POPTT16 			P
SC_LG_AMBASE		-
BR-------------------				
BR_CSDL				-
BR_PPSEN			-
BR_EM-FL			P
BR_FL-SH			-
BR_FL-SD			P
BR_SD-PM			P
BR_FL-LF			-
BR_LFMAX			G
BR_SLAVR			G
BR_SIZLF			G
BR_XFRT				-
BR_WTPSD			G
BR_SFDUR			G
BR_SDPDV			G
BR_PODUR			-
BR_THRSH			-
BR_SDPRO			-
BR_SDLIP			-
CN-------------------				
CN_CSDL				P
CN_PPSEN			-
CN_EM-FL			P	
CN_FL-SH			P
CN_FL-SD			P
CN_SD-PM			P
CN_FL-LF			P
CN_LFMAX			-
CN_SLAVR			G
CN_SIZLF			G
CN_XFRT				-
CN_WTPSD			-
CN_SFDUR			G
CN_SDPDV			G
CN_PODUR			G
CN_THRSH			-
CN_SDPRO			-
CN_SDLIP			-
PP-------------------				
PP_CSDL				P
PP_PPSEN			P
PP_EM-FL			P
PP_FL-SH			P
PP_FL-SD			P
PP_SD-PM			P
PP_FL-LF			-
PP_LFMAX			G
PP_SLAVR			G
PP_SIZLF			-
PP_XFRT				P
PP_WTPSD			G
PP_SFDUR			-
PP_SDPDV			G
PP_PODUR			G
PP_THRSH			-
PP_SDPRO			-
PP_SDLIP			-
SU-------------------				
SU_CSDL				-
SU_PPSEN			-
SU_EM-FL			P
SU_FL-SH			P
SU_FL-SD			P
SU_SD-PM			P
SU_FL-LF			G
SU_LFMAX			G
SU_SLAVR			G
SU_SIZLF			G
SU_XFRT				G
SU_WTPSD			G
SU_SFDUR			G
SU_SDPDV			G
SU_PODUR			G
SU_THRSH			G
SU_SDPRO			-
SU_SDLIP			-
